Date ,Price ,Open ,High ,Low ,Vol. ,Change %
"Feb 01, 2010 ",352.38 ,339.43 ,355.75 ,333.82 ,2.04M ,3.14%
"Feb 02, 2010 ",344.41 ,362.76 ,365.93 ,343.25 ,1.56M ,-2.26%
"Feb 03, 2010 ",354.14 ,345.42 ,355.33 ,344.31 ,1.28M ,2.83%
"Feb 04, 2010 ",345.47 ,351.16 ,354.06 ,343.25 ,1.23M ,-2.45%
"Feb 05, 2010 ",339.59 ,334.87 ,344.86 ,334.87 ,2.37M ,-1.70%
"Feb 06, 2010 ",341.73 ,337.45 ,344.31 ,337.45 ,90.93K ,0.63%
"Feb 08, 2010 ",335.45 ,339.30 ,342.73 ,332.26 ,1.78M ,-1.84%
"Feb 09, 2010 ",344.99 ,333.24 ,347.10 ,333.24 ,1.67M ,2.84%
"Feb 10, 2010 ",341.51 ,348.00 ,350.11 ,339.75 ,1.28M ,-1.01%
"Feb 11, 2010 ",345.73 ,344.49 ,349.19 ,342.73 ,798.41K ,1.24%
"Feb 15, 2010 ",347.95 ,344.84 ,351.16 ,344.84 ,1.05M ,0.64%
"Feb 16, 2010 ",353.25 ,348.53 ,353.54 ,344.97 ,1.07M ,1.52%
"Feb 17, 2010 ",354.01 ,358.55 ,358.55 ,349.08 ,1.39M ,0.22%
"Feb 18, 2010 ",352.17 ,355.91 ,356.96 ,350.16 ,810.71K ,-0.52%
"Feb 19, 2010 ",351.06 ,349.05 ,354.59 ,346.95 ,2.40M ,-0.32%
"Feb 22, 2010 ",352.30 ,351.69 ,358.81 ,350.74 ,739.89K ,0.35%
"Feb 23, 2010 ",356.62 ,351.64 ,358.12 ,348.53 ,922.50K ,1.23%
"Feb 24, 2010 ",354.43 ,357.49 ,359.05 ,352.61 ,1.36M ,-0.61%
"Feb 25, 2010 ",352.96 ,356.96 ,359.60 ,350.72 ,1.60M ,-0.41%
"Feb 26, 2010 ",357.23 ,353.85 ,362.82 ,350.64 ,1.22M ,1.21%
"Mar 02, 2010 ",369.75 ,355.91 ,370.67 ,355.91 ,1.79M ,3.50%
"Mar 03, 2010 ",368.30 ,371.73 ,373.31 ,365.06 ,1.41M ,-0.39%
"Mar 04, 2010 ",365.80 ,367.77 ,369.46 ,363.55 ,1.56M ,-0.68%
"Mar 05, 2010 ",361.63 ,366.45 ,369.62 ,360.15 ,1.08M ,-1.14%
"Mar 08, 2010 ",367.88 ,362.24 ,371.54 ,361.63 ,1.38M ,1.73%
"Mar 09, 2010 ",370.17 ,370.15 ,375.68 ,369.09 ,1.24M ,0.62%
"Mar 10, 2010 ",367.14 ,370.15 ,373.26 ,365.72 ,876.81K ,-0.82%
"Mar 11, 2010 ",374.05 ,370.15 ,376.47 ,368.56 ,1.88M ,1.88%
"Mar 12, 2010 ",374.39 ,376.89 ,378.00 ,372.99 ,1.60M ,0.09%
"Mar 15, 2010 ",384.20 ,377.00 ,385.44 ,373.31 ,2.23M ,2.62%
